path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
530	0	1		Partez à la découverte du numérique	Mettez-vous dans les meilleures conditions pour réussir votre parcours : projetez-vous dans votre formation, définissez votre planning et appropriez-vous les outils essentiels pour apprendre.	20		
530	0	2		Préparez un voyage professionnel	Organisez un voyage de A à Z : itinéraire, hébergement, restaurants, visites... Faites les meilleurs choix grâce à Internet !	30		
530	0	3		Présentez un nouvel outil à vos collègues	Connaissez-vous les cartes mentales ? Présentez cet outil lors d'une réunion avec vos collègues, en proposant des supports adaptés.	40		
530	0	4		Améliorez le recrutement de votre entreprise grâce aux outils numériques	Aidez votre collègue à recruter, grâce à des outils de communication et de collaboration en ligne.	30		
530	0	5		Formez une équipe à la sécurité informatique	Formez vos collègues aux bonnes pratiques de la sécurité sur 4 domaines précis.	50		
530	0	6		Résolvez un problème informatique	Vous avez parcouru un long chemin dans votre formation autour du numérique... Il est temps de faire le point et d'aborder un problème technique par vous-même.	30		
577	0	1		Partez à la découverte du numérique	Mettez-vous dans les meilleures conditions pour réussir votre parcours : projetez-vous dans votre formation, définissez votre planning et appropriez-vous les outils essentiels pour apprendre.	20		
577	0	2		Préparez un voyage professionnel	Organisez un voyage de A à Z : itinéraire, hébergement, restaurants, visites... Faites les meilleurs choix grâce à Internet !	30		
577	0	3		Améliorez le recrutement de votre entreprise grâce aux outils numériques	Aidez votre collègue à recruter, grâce à des outils de communication et de collaboration en ligne.	30		
577	0	4		Formez une équipe à la sécurité informatique	Formez vos collègues aux bonnes pratiques de la sécurité sur 4 domaines précis.	50		
218	0	1		Validez une proposition de valeur claire	Lancez-vous dans la réalisation de vos premiers livrables indispensables pour valider votre proposition de valeur.	60		
218	0	2		Créez votre business plan 1/2	Créez les premiers éléments de votre business plan : votre équipe, votre plan marketing et votre plan d'actions commerciales.	40		
218	0	3		Créez votre business plan 2/2	Finalisez votre business plan en intégrant votre plan de financement, vos statuts d'entreprise et votre executive summary.	50		
218	0	4		Déployez vos actions marketing et commerciales	Créez vos supports marketing et commerciaux et allez à la rencontre de vos futurs clients, prestataires et partenaires.	70		
218	0	5		Pilotez votre activité	Gérez les tâches administratives et comptable de votre entreprise au quotidien et assurez-vous de sa performance.	50		
106	0	1		Démarrez votre formation de manager opérationnel	Vous embarquez sur un grand parcours d'apprentissage. Ce premier projet va vous y préparer !	20		
106	0	2		Analysez un positionnement et faites des recommandations stratégiques	Vous avez décroché un entretien pour rejoindre Blablacar. Montrez que vous connaissez ce secteur et pouvez faire des recommandations stratégiques adaptées à cette entreprise !	60		
106	0	3		Élaborez un tableau de bord financier pour une coopérative	Des salariés viennent de reprendre une entreprise en coopérative. Aidez-les à créer des indicateurs de performance pour réaliser un suivi financier efficace !	70		
106	0	4		Analysez le fonctionnement d'une équipe opérationnelle	Observez une équipe sur le terrain et concevez une nouvelle organisation pour un magasin, en réalisant toutes les étapes du recrutement !	70		
106	0	5		Agissez pour la qualité de vie au travail	Une entreprise connaît une amplification de l'absentéisme. On fait donc appel à vous pour proposer une démarche de prévention concrète, ainsi qu'une action de formation !	50		
106	0	6		Réalisez un plan d'action pour une démarche environnementale dans l'entreprise	Mettez en place une démarche environnementale dans votre entreprise, en impliquant tous les salarié·e·s, et en vous appuyant sur les instances représentatives du personnel !	60		
106	0	7		Positionnez-vous en tant que leader dans votre équipe	Un conflit a lieu entre deux membres de votre équipe. Il vous faut donc analyser la situation, préparer des entretiens pour gérer ce conflit et prévoir une évolution de l'organisation plus favorable au bien-être !	70		
106	0	8		Gérez la communication d'un projet associatif	Vous voulez créer une association pour favoriser le lien social autour du sport. À vous de créer une communication interne et externe adaptée à vos besoins, en vue de convaincre un investisseur anglophone !	80		
106	0	9		Créez et lancez votre restaurant	Vous souhaitez ouvrir votre propre crêperie. Assurez toutes les étapes de ce grand projet pour convaincre votre futur·e associé·e !	120		
106	0	10		Réalisez un stage de manager opérationnel !	Dans ce projet, réalisez un stage dans une organisation afin de mettre en pratique toutes les compétences vues en formation (stage d'au moins 12 semaines (66 jours) à temps plein sur une durée de 3 mois ou à temps partiel sur une durée de 3 à 6 mois).	420		
536	0	1		Démarrez votre formation d’attaché commercial et adoptez une posture de commercial !	Mettez-vous dans les meilleures conditions pour réussir votre parcours : projetez-vous dans votre formation, définissez votre planning et appropriez-vous les outils essentiels pour apprendre.	40		
536	0	2		Préparez votre plan d'action commercial	Votre responsable souhaite que vous réalisiez un plan de développement des ventes, en analysant votre marché et en sourçant des prospects qualifiés, via différents canaux.	60		
536	0	3		Conduisez une prospection client efficace	Vous êtes à l'étape du contact avec le prospect. Votre objectif : obtenir un rendez-vous client ! Mettez en place une stratégie efficace et complétez votre CRM en fonction de vos avancées.	70		
